source_store_name,retailer_name,store_branch_name,row_count,query,category_group_code,search_stage,validation_status,match_status,store_status,place_name,category_name,address_name,road_address_name,region_1depth_name,region_2depth_name,region_3depth_name,x,y,place_url
GS더프레시김포한강자이점,GS더프레시,김포한강자이점,225,GS더프레시 김포한강자이점,MT1,primary_category,valid,matched,open,GS더프레시 김포한강자이점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 김포시 장기동 2193,경기 김포시 태장로 845,경기,김포시,장기동,126.675858264541,37.6348291390037,http://place.map.kakao.com/989742952
GS더프레시김해외동점,GS더프레시,김해외동점,225,GS더프레시 김해외동점,MT1,primary_category,valid,matched,open,GS더프레시 김해외동점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경남 김해시 외동 1096-1,경남 김해시 금관대로 1143,경남,김해시,외동,128.8496742285926,35.23019416483259,http://place.map.kakao.com/1654194846
GS더프레시낙성대점,GS더프레시,낙성대점,225,GS더프레시 낙성대점,MT1,primary_category,valid,matched,open,GS더프레시 낙성대점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 관악구 봉천동 1629-2,서울 관악구 봉천로 576,서울,관악구,봉천동,126.96158960953927,37.4769426099381,http://place.map.kakao.com/11840178
GS더프레시남양주별내점,GS더프레시,남양주별내점,225,GS더프레시 남양주별내점,MT1,primary_category,valid,matched,open,GS더프레시 남양주별내점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 남양주시 별내동 1095,경기 남양주시 별내5로5번길 8,경기,남양주시,별내동,127.11344887174383,37.65012527706786,http://place.map.kakao.com/26890619
GS더프레시능곡점,GS더프레시,능곡점,225,GS더프레시 능곡점,MT1,primary_category,valid,matched,open,GS더프레시 능곡점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 고양시 덕양구 토당동 282-10,경기 고양시 덕양구 토당로 110,경기,고양시,덕양구,126.818029865073,37.6247006605713,http://place.map.kakao.com/21311104
GS더프레시다대점,GS더프레시,다대점,225,GS더프레시 다대점,MT1,primary_category,valid,matched,open,GS더프레시 다대점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 사하구 다대동 1628,부산 사하구 다대낙조2길 100,부산,사하구,다대동,128.96321538363668,35.05566940054444,http://place.map.kakao.com/16406244
GS더프레시당진송악점,GS더프레시,당진송악점,225,GS더프레시 당진송악점,MT1,primary_category,valid,matched,open,GS더프레시 당진송악점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",충남 당진시 송악읍 복운리 1630-4,충남 당진시 송악읍 신복운로5길 7,충남,당진시,송악읍,126.780621885916,36.9421877072098,http://place.map.kakao.com/12143256
GS더프레시당진점,GS더프레시,당진점,225,GS더프레시 당진점,MT1,primary_category,valid,matched,open,GS더프레시 당진점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",충남 당진시 읍내동 250,충남 당진시 당진중앙2로 185-50,충남,당진시,읍내동,126.634195360935,36.8970284081316,http://place.map.kakao.com/8563585
GS더프레시대동점,GS더프레시,대동점,225,GS더프레시 대동점,MT1,primary_category,valid,matched,open,GS더프레시 대동점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 해운대구 좌동 1288,부산 해운대구 대천로103번길 29,부산,해운대구,좌동,129.174476934041,35.1775531067175,http://place.map.kakao.com/27477024
GS더프레시대방점,GS더프레시,대방점,225,GS더프레시 대방점,MT1,primary_category,valid,matched,open,GS더프레시 대방점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경남 창원시 성산구 대방동 363-2,경남 창원시 성산구 가양로124번길 5-12,경남,창원시,성산구,128.70782127417576,35.208744064436495,http://place.map.kakao.com/8002172
