source_store_name,retailer_name,store_branch_name,row_count
롯데슈퍼당수점,롯데슈퍼,당수점,502
롯데슈퍼대구고산점,롯데슈퍼,대구고산점,502
롯데슈퍼대구대실점,롯데슈퍼,대구대실점,493
롯데슈퍼대구현풍점,롯데슈퍼,대구현풍점,488
롯데슈퍼대전둔산점,롯데슈퍼,대전둔산점,502
롯데슈퍼덕진점,롯데슈퍼,덕진점,502
롯데슈퍼동탄청계점,롯데슈퍼,동탄청계점,502
롯데슈퍼두암점,롯데슈퍼,두암점,502
롯데슈퍼두정2점,롯데슈퍼,두정2점,502
롯데슈퍼마포대흥점,롯데슈퍼,마포대흥점,503
롯데슈퍼망포역점,롯데슈퍼,망포역점,503
롯데슈퍼명지점,롯데슈퍼,명지점,488
롯데슈퍼목포용해점,롯데슈퍼,목포용해점,502
롯데슈퍼문흥점,롯데슈퍼,문흥점,502
롯데슈퍼반포2점,롯데슈퍼,반포2점,502
롯데슈퍼방학점,롯데슈퍼,방학점,502
롯데슈퍼방화점,롯데슈퍼,방화점,502
롯데슈퍼백석점,롯데슈퍼,백석점,500
롯데슈퍼범서점,롯데슈퍼,범서점,503
롯데슈퍼보령점,롯데슈퍼,보령점,208
롯데슈퍼복현점,롯데슈퍼,복현점,502
롯데슈퍼봉화산역점,롯데슈퍼,봉화산역점,502
롯데슈퍼부산남산점,롯데슈퍼,부산남산점,212
롯데슈퍼부산문현점,롯데슈퍼,부산문현점,493
롯데슈퍼부산연산점,롯데슈퍼,부산연산점,458
롯데슈퍼부산영도점,롯데슈퍼,부산영도점,503
롯데슈퍼부산학장점,롯데슈퍼,부산학장점,493
롯데슈퍼부산화명점,롯데슈퍼,부산화명점,493
롯데슈퍼분당서현점,롯데슈퍼,분당서현점,502
롯데슈퍼산본2동점,롯데슈퍼,산본2동점,500
롯데슈퍼산본피트인점,롯데슈퍼,산본피트인점,502
롯데슈퍼삼성점,롯데슈퍼,삼성점,500
롯데슈퍼삼천점,롯데슈퍼,삼천점,208
롯데슈퍼삼천포점,롯데슈퍼,삼천포점,476
롯데슈퍼상계11점,롯데슈퍼,상계11점,502
롯데슈퍼상계7동점,롯데슈퍼,상계7동점,500
롯데슈퍼상남점,롯데슈퍼,상남점,498
롯데슈퍼상록수점,롯데슈퍼,상록수점,174
롯데슈퍼서초3동점,롯데슈퍼,서초3동점,500
롯데슈퍼서초국제점,롯데슈퍼,서초국제점,496
롯데슈퍼성내점,롯데슈퍼,성내점,500
롯데슈퍼성주점,롯데슈퍼,성주점,482
롯데슈퍼세곡점,롯데슈퍼,세곡점,500
롯데슈퍼세교점,롯데슈퍼,세교점,500
롯데슈퍼세종고운점,롯데슈퍼,세종고운점,502
롯데슈퍼세종나성프레시점,롯데슈퍼,세종나성프레시점,502
롯데슈퍼송정점,롯데슈퍼,송정점,502
롯데슈퍼송파점,롯데슈퍼,송파점,488
롯데슈퍼수성점,롯데슈퍼,수성점,469
롯데슈퍼수지점,롯데슈퍼,수지점,115
롯데슈퍼시흥조남점,롯데슈퍼,시흥조남점,500
롯데슈퍼신도림점,롯데슈퍼,신도림점,38
롯데슈퍼신반포점,롯데슈퍼,신반포점,502
롯데슈퍼신부점,롯데슈퍼,신부점,502
롯데슈퍼신천점,롯데슈퍼,신천점,500
롯데슈퍼신현점,롯데슈퍼,신현점,502
롯데슈퍼쌍문점,롯데슈퍼,쌍문점,503
롯데슈퍼안산점,롯데슈퍼,안산점,500
롯데슈퍼안양점,롯데슈퍼,안양점,500
롯데슈퍼양산남부점,롯데슈퍼,양산남부점,493
롯데슈퍼언남점,롯데슈퍼,언남점,503
롯데슈퍼엑스포점,롯데슈퍼,엑스포점,502
롯데슈퍼여의점,롯데슈퍼,여의점,502
롯데슈퍼역촌점,롯데슈퍼,역촌점,294
롯데슈퍼연수점,롯데슈퍼,연수점,502
롯데슈퍼연수함박점,롯데슈퍼,연수함박점,498
롯데슈퍼영월점,롯데슈퍼,영월점,489
롯데슈퍼영주점,롯데슈퍼,영주점,483
롯데슈퍼오산점,롯데슈퍼,오산점,500
롯데슈퍼용인남사점,롯데슈퍼,용인남사점,397
롯데슈퍼용인동천점,롯데슈퍼,용인동천점,503
롯데슈퍼용인점,롯데슈퍼,용인점,503
롯데슈퍼우만점,롯데슈퍼,우만점,503
롯데슈퍼우장산점,롯데슈퍼,우장산점,502
롯데슈퍼원주점,롯데슈퍼,원주점,500
롯데슈퍼원효로점,롯데슈퍼,원효로점,503
롯데슈퍼월성점,롯데슈퍼,월성점,500
롯데슈퍼위례중앙점,롯데슈퍼,위례중앙점,500
롯데슈퍼율량점,롯데슈퍼,율량점,184
롯데슈퍼인계점,롯데슈퍼,인계점,503
롯데슈퍼인천동양점,롯데슈퍼,인천동양점,496
롯데슈퍼인천청라2점,롯데슈퍼,인천청라2점,294
롯데슈퍼인천청라점,롯데슈퍼,인천청라점,502
롯데슈퍼인후점,롯데슈퍼,인후점,502
롯데슈퍼일산점,롯데슈퍼,일산점,502
롯데슈퍼잠실3동점,롯데슈퍼,잠실3동점,498
롯데슈퍼잠원점,롯데슈퍼,잠원점,500
롯데슈퍼장락점,롯데슈퍼,장락점,483
롯데슈퍼장안점,롯데슈퍼,장안점,501
롯데슈퍼장위점,롯데슈퍼,장위점,502
롯데슈퍼전농점,롯데슈퍼,전농점,502
롯데슈퍼전북대점,롯데슈퍼,전북대점,502
롯데슈퍼정릉점,롯데슈퍼,정릉점,503
롯데슈퍼정자점,롯데슈퍼,정자점,503
롯데슈퍼중계역점,롯데슈퍼,중계역점,500
롯데슈퍼중계점,롯데슈퍼,중계점,502
롯데슈퍼중촌점,롯데슈퍼,중촌점,502
롯데슈퍼창동2점,롯데슈퍼,창동2점,502
롯데슈퍼창천점,롯데슈퍼,창천점,209
롯데슈퍼철산점,롯데슈퍼,철산점,500
롯데슈퍼칠곡중리점,롯데슈퍼,칠곡중리점,483
롯데슈퍼코엑스점,롯데슈퍼,코엑스점,500
롯데슈퍼탑동점,롯데슈퍼,탑동점,503
롯데슈퍼평창진부점,롯데슈퍼,평창진부점,500
롯데슈퍼평택점,롯데슈퍼,평택점,502
롯데슈퍼포천일동점,롯데슈퍼,포천일동점,502
롯데슈퍼포항장성점,롯데슈퍼,포항장성점,483
롯데슈퍼풍암점,롯데슈퍼,풍암점,502
롯데슈퍼프리미엄공덕점,롯데슈퍼,프리미엄공덕점,336
롯데슈퍼프리미엄기흥점,롯데슈퍼,프리미엄기흥점,502
롯데슈퍼프리미엄도곡점,롯데슈퍼,프리미엄도곡점,484
롯데슈퍼프리미엄서초점,롯데슈퍼,프리미엄서초점,502
롯데슈퍼프리미엄용호점,롯데슈퍼,프리미엄용호점,497
롯데슈퍼프리미엄일원점,롯데슈퍼,프리미엄일원점,500
롯데슈퍼프리미엄황금점,롯데슈퍼,프리미엄황금점,502
롯데슈퍼하당점,롯데슈퍼,하당점,502
롯데슈퍼한마음점,롯데슈퍼,한마음점,502
롯데슈퍼한빛점,롯데슈퍼,한빛점,502
롯데슈퍼합천점,롯데슈퍼,합천점,487
롯데슈퍼화성봉담점,롯데슈퍼,화성봉담점,503
롯데슈퍼회룡역점,롯데슈퍼,회룡역점,500
롯데슈퍼효자점,롯데슈퍼,효자점,502
세븐일레븐(본사),세븐일레븐,(본사),182
신세계백화점강남점,신세계백화점,강남점,366
신세계백화점광주신세계점,신세계백화점,광주신세계점,7
신세계백화점광주점,신세계백화점,광주점,57
신세계백화점본점,신세계백화점,본점,198
신세계백화점센텀시티점,신세계백화점,센텀시티점,426
신세계백화점영등포점,신세계백화점,영등포점,53
신세계백화점죽전점,신세계백화점,죽전점,652
이마트24(본사),이마트24,(본사),224
이마트가든5점,이마트,가든5점,588
이마트강릉점,이마트,강릉점,593
이마트검단점,이마트,검단점,615
이마트경기광주점,이마트,경기광주점,631
이마트경산점,이마트,경산점,584
이마트계양점,이마트,계양점,635
이마트고잔점,이마트,고잔점,645
이마트과천점,이마트,과천점,524
이마트광교점,이마트,광교점,631
이마트광명소하점,이마트,광명소하점,618
이마트광산점,이마트,광산점,562
이마트광주점,이마트,광주점,622
이마트구로점,이마트,구로점,605
이마트구미점,이마트,구미점,535
이마트군산점,이마트,군산점,611
이마트금정점,이마트,금정점,627
이마트김천점,이마트,김천점,488
이마트김포한강점,이마트,김포한강점,612
이마트김해점,이마트,김해점,600
이마트남양주점,이마트,남양주점,630
이마트남원점,이마트,남원점,424
이마트다산점,이마트,다산점,616
이마트대전터미널점,이마트,대전터미널점,638
이마트동구미점,이마트,동구미점,538
이마트동백점,이마트,동백점,547
이마트동인천점,이마트,동인천점,615
이마트동탄점,이마트,동탄점,607
이마트동해점,이마트,동해점,534
이마트둔산점,이마트,둔산점,573
이마트마산점,이마트,마산점,568
이마트마포점,이마트,마포점,582
이마트만촌점,이마트,만촌점,593
이마트명일점,이마트,명일점,546
이마트목동점,이마트,목동점,634
이마트목포점,이마트,목포점,573
이마트묵동점,이마트,묵동점,530
이마트문현점,이마트,문현점,566
이마트미아점,이마트,미아점,617
이마트반야월점,이마트,반야월점,541
이마트별내점,이마트,별내점,635
이마트보라점,이마트,보라점,503
이마트보령점,이마트,보령점,472
이마트봉선점,이마트,봉선점,613
이마트부천점,이마트,부천점,622
이마트분당점,이마트,분당점,572
이마트사상점,이마트,사상점,631
이마트사천점,이마트,사천점,426
이마트산본점,이마트,산본점,585
이마트상주점,이마트,상주점,469
이마트서귀포점,이마트,서귀포점,626
이마트서산점,이마트,서산점,597
이마트서수원점,이마트,서수원점,570
이마트성남점,이마트,성남점,590
이마트성서점,이마트,성서점,597
이마트세종점,이마트,세종점,559
이마트속초점,이마트,속초점,563
이마트수색점,이마트,수색점,512
이마트수서점,이마트,수서점,451
이마트수원점,이마트,수원점,659
이마트수지점,이마트,수지점,594
이마트순천점,이마트,순천점,562
이마트신도림점,이마트,신도림점,589
이마트신월점,이마트,신월점,334
이마트신제주점,이마트,신제주점,496
이마트신촌점,이마트,신촌점,353
이마트아산점,이마트,아산점,537
이마트안동점,이마트,안동점,547
이마트안성점,이마트,안성점,560
이마트안양점,이마트,안양점,615
이마트양산점,이마트,양산점,613
이마트양재점,이마트,양재점,597
이마트양주점,이마트,양주점,556
이마트에코시티점,이마트,에코시티점,162
이마트여수점,이마트,여수점,539
이마트여의도점,이마트,여의도점,575
이마트여주점,이마트,여주점,522
이마트역삼점,이마트,역삼점,559
이마트연수점,이마트,연수점,585
이마트연제점,이마트,연제점,632
이마트영등포점,이마트,영등포점,642
이마트영천점,이마트,영천점,412
이마트오산점,이마트,오산점,596
이마트왕십리점,이마트,왕십리점,619
이마트용산점,이마트,용산점,595
이마트용인점,이마트,용인점,562
이마트울산점,이마트,울산점,617
이마트원주점,이마트,원주점,607
이마트월계점,이마트,월계점,627
이마트월배점,이마트,월배점,594
이마트은평점,이마트,은평점,644
이마트의왕점,이마트,의왕점,534
이마트의정부점,이마트,의정부점,635
이마트이천점,이마트,이천점,617
이마트익산점,이마트,익산점,583
이마트일산점,이마트,일산점,535
이마트자양점,이마트,자양점,626
이마트전주점,이마트,전주점,552
이마트제주점,이마트,제주점,526
이마트제천점,이마트,제천점,617
이마트죽전점,이마트,죽전점,591
이마트중동점,이마트,중동점,574
이마트진접점,이마트,진접점,502
이마트진주점,이마트,진주점,583
이마트창동점,이마트,창동점,537
이마트창원점,이마트,창원점,580
이마트천안서북점,이마트,천안서북점,639
이마트천안점,이마트,천안점,639
이마트천안터미널점,이마트,천안터미널점,565
이마트천호점,이마트,천호점,580
이마트청계천점,이마트,청계천점,555
이마트청주점,이마트,청주점,621
