product_key,fis_item,cmdt_id,cmdt_se_cd,unit,인도월,거래일자,종가(USD/ton),전일대비,등락률(%),환산가($/ton)
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-09,420.5,상승 6.0,상승 1.45%,420.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-06,414.5,상승 8.0,상승 1.97%,414.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-05,406.5,하락 2.8,하락 0.68%,406.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-04,409.3,하락 5.1,하락 1.23%,409.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-03,414.4,상승 0.8,상승 0.19%,414.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-03-02,413.6,상승 5.9,상승 1.45%,413.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-27,407.7,하락 0.2,하락 0.05%,407.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-26,407.9,상승 0.8,상승 0.2%,407.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-25,407.1,하락 0.1,하락 0.02%,407.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-24,407.2,하락 1.0,하락 0.24%,407.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-23,408.2,상승 1.6,상승 0.39%,408.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-20,406.6,상승 3.3,상승 0.82%,406.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-19,403.3,하락 4.6,하락 1.13%,403.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-18,407.9,상승 5.4,상승 1.34%,407.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-17,402.5,하락 3.5,하락 0.86%,402.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.04,2026-02-16,406.0,상승 8.9,상승 2.24%,406.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-13,397.1,상승 21.0,상승 5.58%,397.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-12,376.1,하락 11.1,하락 2.87%,376.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-11,387.2,하락 10.9,하락 2.74%,387.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-10,398.1,하락 7.3,하락 1.8%,398.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-09,405.4,상승 1.0,상승 0.25%,405.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-06,404.4,하락 3.5,하락 0.86%,404.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-05,407.9,하락 3.9,하락 0.95%,407.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-04,411.8,하락 5.8,하락 1.39%,411.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-03,417.6,상승 12.4,상승 3.06%,417.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-02-02,405.2,상승 0.1,상승 0.02%,405.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-30,405.1,하락 7.1,하락 1.72%,405.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-29,412.2,0.0,0.0%,412.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-28,412.2,하락 1.0,하락 0.24%,412.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-27,413.2,하락 1.0,하락 0.24%,413.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-26,414.2,하락 4.7,하락 1.12%,414.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-23,418.9,하락 7.0,하락 1.64%,418.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-22,425.9,상승 4.8,상승 1.14%,425.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-21,421.1,하락 1.4,하락 0.33%,421.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-20,422.5,하락 5.3,하락 1.24%,422.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-19,427.8,하락 0.6,하락 0.14%,427.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-16,428.4,상승 10.2,상승 2.44%,428.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-15,418.2,하락 2.7,하락 0.64%,418.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-14,420.9,하락 6.4,하락 1.5%,420.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-13,427.3,상승 3.9,상승 0.92%,427.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-12,423.4,하락 2.5,하락 0.59%,423.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-09,425.9,하락 2.0,하락 0.47%,425.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-08,427.9,상승 0.2,상승 0.05%,427.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-07,427.7,상승 4.1,상승 0.97%,427.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-06,423.6,상승 2.5,상승 0.59%,423.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-05,421.1,상승 2.5,상승 0.6%,421.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2026-01-02,418.6,하락 8.9,하락 2.08%,418.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-31,427.5,상승 1.5,상승 0.35%,427.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-30,426.0,하락 8.6,하락 1.98%,426.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-29,434.6,하락 0.6,하락 0.14%,434.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-26,435.2,0.0,0.0%,435.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-24,435.2,상승 3.3,상승 0.76%,435.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-23,431.9,상승 5.6,상승 1.31%,431.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-22,426.3,상승 0.8,상승 0.19%,426.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-19,425.5,상승 9.6,상승 2.31%,425.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-18,415.9,하락 6.4,하락 1.52%,415.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-17,422.3,하락 0.7,하락 0.17%,422.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-16,423.0,하락 3.4,하락 0.8%,423.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-15,426.4,하락 3.0,하락 0.7%,426.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-12,429.4,상승 5.2,상승 1.23%,429.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-11,424.2,하락 1.9,하락 0.45%,424.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-10,426.1,상승 7.3,상승 1.74%,426.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-09,418.8,하락 3.8,하락 0.9%,418.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-08,422.6,하락 3.0,하락 0.7%,422.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-05,425.6,상승 0.4,상승 0.09%,425.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-04,425.2,하락 1.0,하락 0.23%,425.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-03,426.2,하락 3.2,하락 0.75%,426.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-02,429.4,상승 8.3,상승 1.97%,429.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-12-01,421.1,하락 14.4,하락 3.31%,421.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-28,435.5,하락 1.0,하락 0.23%,435.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-27,436.5,상승 2.9,상승 0.67%,436.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-26,433.6,상승 5.7,상승 1.33%,433.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-25,427.9,상승 3.0,상승 0.71%,427.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-24,424.9,상승 0.8,상승 0.19%,424.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-21,424.1,상승 4.1,상승 0.98%,424.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-20,420.0,상승 0.1,상승 0.02%,420.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-19,419.9,하락 0.3,하락 0.07%,419.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-18,420.2,상승 2.1,상승 0.5%,420.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2026.02,2025-11-17,418.1,하락 13.5,하락 3.13%,418.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-14,431.6,상승 9.3,상승 2.2%,431.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-13,422.3,상승 4.5,상승 1.08%,422.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-12,417.8,상승 9.9,상승 2.43%,417.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-11,407.9,하락 0.3,하락 0.07%,407.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-10,408.2,하락 1.4,하락 0.34%,408.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-07,409.6,하락 3.3,하락 0.8%,409.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-06,412.9,상승 0.2,상승 0.05%,412.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-05,412.7,하락 0.7,하락 0.17%,412.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-04,413.4,하락 9.9,하락 2.34%,413.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-11-03,423.3,상승 7.6,상승 1.83%,423.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-31,415.7,상승 1.7,상승 0.41%,415.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-30,414.0,하락 3.7,하락 0.89%,414.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-29,417.7,상승 0.6,상승 0.14%,417.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-28,417.1,하락 5.1,하락 1.21%,417.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-27,422.2,하락 9.1,하락 2.11%,422.2
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-24,431.3,하락 6.5,하락 1.48%,431.3
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-23,437.8,상승 3.3,상승 0.76%,437.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-22,434.5,상승 1.1,상승 0.25%,434.5
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-21,433.4,하락 13.5,하락 3.02%,433.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-20,446.9,상승 7.9,상승 1.8%,446.9
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-17,439.0,하락 1.6,하락 0.36%,439.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-16,440.6,상승 0.5,상승 0.11%,440.6
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-15,440.1,하락 10.7,하락 2.37%,440.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-14,450.8,상승 6.8,상승 1.53%,450.8
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-13,444.0,하락 6.4,하락 1.42%,444.0
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-10,450.4,하락 0.7,하락 0.16%,450.4
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-09,451.1,상승 0.4,상승 0.09%,451.1
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-08,450.7,하락 7.3,하락 1.59%,450.7
white_sugar,White Sugar,0701000002011303,FOOD,USD/ton,2025.11,2025-10-07,458.0,하락 6.4,하락 1.38%,458.0
