retailer_name,source_product_id,source_product_name,product_url,canonical_item,subtype,manufacturer_name,quantity,unit
농협몰,0039399078,할리스 순수 우유 롤케이크,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039399078,우유,우유,할리스,,
농협몰,0039410845,[홈쇼핑히트] AGK 스빙 라이트 오토 슬라이서,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039410845,계란,계란,홈쇼핑히트,,
농협몰,0039414751,투썸플레이스 부드러운 에그 잉글리쉬 머핀 + 아메리카노 R,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039414751,계란,계란,투썸플레이스,,
농협몰,0039421706,신세계푸드 버터 깨찰빵 생지 2.9kg(90개),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039421706,버터,버터,신세계푸드,90,개
농협몰,0039424862,"무설탕 음료 망개리-티(tea) 액상스틱_망개, 오미자, 유자를 넣어 블랜딩한 새콤달콤한 건강한 저당음료",https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039424862,설탕,설탕,무설탕,,
농협몰,0039432964,떡미당 굳지않는 앙버터절편 400g,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039432964,버터,버터,떡미당,400,g
농협몰,0039434593,서울우유 속편한 하루강황 170mlx36개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039434593,우유,우유,서울우유,36,개
농협몰,0039436528,[샘표] 쓱쓱싹싹 밥도둑 버터 장조림 90gⅹ8입,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039436528,버터,버터,샘표,8,입
농협몰,0039439783,난각번호1번 프리미엄 유정란 꾸지뽕먹고 자란 방사유정란 계란 대란 20구,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039439783,계란,계란,난각번호1번,20,구
농협몰,0039460952,[제니퍼룸] 위글위글 에그보일러 JRK-EB0301MRD-B,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039460952,계란,계란,제니퍼룸,,
농협몰,0039464235,스타벅스 [노릇노릇 든든하게] 카페 아메리카노 T + 스크램블 에그 베이컨 샌드위치,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039464235,계란,계란,스타벅스,,
농협몰,0039482183,[비타그램] 이지쿡 계란찜기 VG-EG2503,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039482183,계란,계란,비타그램,,
